2023-05-06 11:51:36,028 - DEBUG - [info] number of GPUs: 1
2023-05-06 11:51:36,029 - DEBUG - [info] world_size: 1
2023-05-06 11:51:36,032 - DEBUG - train_files: 219
2023-05-06 11:51:36,033 - DEBUG - val_files: 55
2023-05-06 11:51:38,547 - DEBUG - [info] use pretrained weights
2023-05-06 11:51:38,550 - DEBUG - num_epochs: 200
2023-05-06 11:51:38,551 - DEBUG - num_epochs_per_validation: 2
2023-05-06 11:51:38,551 - DEBUG - [info] training from scratch
2023-05-06 11:51:38,551 - DEBUG - [info] amp enabled
2023-05-06 11:51:38,555 - DEBUG - ----------
2023-05-06 11:51:38,555 - DEBUG - epoch 1/200
2023-05-06 11:51:38,555 - DEBUG - learning rate is set to 0.0
2023-05-06 11:54:54,188 - DEBUG - [2023-05-06 11:54:54] 20/110, train_loss: 3.8399
2023-05-06 11:54:54,762 - DEBUG - [2023-05-06 11:54:54] 20/110, train_loss: 3.8326
2023-05-06 11:54:55,422 - DEBUG - [2023-05-06 11:54:55] 21/110, train_loss: 3.8226
2023-05-06 11:54:55,997 - DEBUG - [2023-05-06 11:54:55] 21/110, train_loss: 3.7628
2023-05-06 11:54:56,573 - DEBUG - [2023-05-06 11:54:56] 21/110, train_loss: 3.7388
2023-05-06 11:54:57,148 - DEBUG - [2023-05-06 11:54:57] 21/110, train_loss: 3.7271
2023-05-06 11:54:57,810 - DEBUG - [2023-05-06 11:54:57] 22/110, train_loss: 3.7838
2023-05-06 11:54:58,383 - DEBUG - [2023-05-06 11:54:58] 22/110, train_loss: 3.7854
2023-05-06 11:54:58,958 - DEBUG - [2023-05-06 11:54:58] 22/110, train_loss: 3.7455
2023-05-06 11:54:59,532 - DEBUG - [2023-05-06 11:54:59] 22/110, train_loss: 3.7552
2023-05-06 11:55:00,181 - DEBUG - [2023-05-06 11:55:00] 23/110, train_loss: 3.7692
2023-05-06 11:55:00,758 - DEBUG - [2023-05-06 11:55:00] 23/110, train_loss: 3.7548
2023-05-06 11:55:01,333 - DEBUG - [2023-05-06 11:55:01] 23/110, train_loss: 3.8154
2023-05-06 11:55:01,907 - DEBUG - [2023-05-06 11:55:01] 23/110, train_loss: 3.9314
2023-05-06 11:55:02,569 - DEBUG - [2023-05-06 11:55:02] 24/110, train_loss: 3.8612
2023-05-06 11:55:03,143 - DEBUG - [2023-05-06 11:55:03] 24/110, train_loss: 3.7657
2023-05-06 11:55:03,717 - DEBUG - [2023-05-06 11:55:03] 24/110, train_loss: 3.8297
2023-05-06 11:55:04,292 - DEBUG - [2023-05-06 11:55:04] 24/110, train_loss: 3.8203
2023-05-06 11:55:40,925 - DEBUG - [2023-05-06 11:55:40] 25/110, train_loss: 3.7867
2023-05-06 11:55:41,497 - DEBUG - [2023-05-06 11:55:41] 25/110, train_loss: 3.7480
2023-05-06 11:55:42,070 - DEBUG - [2023-05-06 11:55:42] 25/110, train_loss: 3.6745
2023-05-06 11:55:42,643 - DEBUG - [2023-05-06 11:55:42] 25/110, train_loss: 3.7360
2023-05-06 11:55:43,310 - DEBUG - [2023-05-06 11:55:43] 26/110, train_loss: 3.8123
2023-05-06 11:55:43,883 - DEBUG - [2023-05-06 11:55:43] 26/110, train_loss: 3.8260
2023-05-06 11:55:44,456 - DEBUG - [2023-05-06 11:55:44] 26/110, train_loss: 3.8952
2023-05-06 11:55:45,029 - DEBUG - [2023-05-06 11:55:45] 26/110, train_loss: 3.7851
2023-05-06 11:55:45,670 - DEBUG - [2023-05-06 11:55:45] 27/110, train_loss: 3.7664
2023-05-06 11:55:46,245 - DEBUG - [2023-05-06 11:55:46] 27/110, train_loss: 3.7900
2023-05-06 11:55:46,818 - DEBUG - [2023-05-06 11:55:46] 27/110, train_loss: 3.7546
2023-05-06 11:55:47,392 - DEBUG - [2023-05-06 11:55:47] 27/110, train_loss: 3.7177
2023-05-06 11:55:48,035 - DEBUG - [2023-05-06 11:55:48] 28/110, train_loss: 3.7240
2023-05-06 11:55:48,612 - DEBUG - [2023-05-06 11:55:48] 28/110, train_loss: 3.7047
2023-05-06 11:55:49,190 - DEBUG - [2023-05-06 11:55:49] 28/110, train_loss: 3.7898
2023-05-06 11:55:49,772 - DEBUG - [2023-05-06 11:55:49] 28/110, train_loss: 3.8220
2023-05-06 11:55:50,410 - DEBUG - [2023-05-06 11:55:50] 29/110, train_loss: 3.7069
